State,Wk1(feb 20-26),Wk2(feb 27-4march),Wk3(march 5 - 11),Wk4(mar12-18),Wk5(mar19-25),Wk6(mar26-1april),wk7 (april 2-8),Wk8 (april 9-15)
Chattisgarh,4450,3010,3487.5,3300,2560,1925,1091.666667,1091.666667
Gujarat,2658.333333,2800,2825,2716.666667,2708.333333,1783.333333,1800,1683.333333
Haryana,5000,4900,4833.333333,5416.666667,5675,5480,6400,5800
Himachal Pradesh,5383.333333,5325,5466.666667,5280,5500,7933.333333,6475,6125
Jharkhand,7016.666667,7000,6850,6560,7025,7625,6650,3633.333333
Karnataka,1350,1400,1716.666667,1520,1500,NA,1840,2000
Kerala,2316.666667,2340,2166.666667,2550,2816.666667,3220,3883.333333,4240
Madhya Pradesh,3734.428571,3308.666667,2654.166667,2709.666667,2900.666667,2836,2796.666667,3615.285714
Odisha,4383.333333,3800,2900,2600,2666.666667,2525,2028.571429,2014.285714
Punjab,2150,1866.666667,2083.333333,2166.666667,2050,2766.666667,2875,2540
Rajasthan,2700,3025,2860,2633.333333,2550,NA,NA,3266.666667
Tripura,,,,,,,,
Uttar Pradesh,2139,2223.333333,2260,2150,2233.333333,2190,2421.428571,2325
Uttrakhand,,,,,,,,
West Bengal,8285.714286,7242.857143,6857.142857,5771.428571,6100,2300,2328.571429,2200