Date,"Actual Cash
Balance with
RBI","Cash Balance
as Percent of
Average
Daily Cash
Reserve
Requirement","Average
Daily Cash
Reserve
Requirement"
"Apr 17, 2020",437225,105.01,416366
"Apr 16, 2020",411991,98.95,416366
"Apr 15, 2020",410795,98.66,416366
"Apr 14, 2020",416539,100.04,416366
"Apr 13, 2020",416448,100.02,416366
"Apr 12, 2020",401602,96.45,416366
"Apr 11, 2020",401616,96.46,416366
"Apr 10, 2020",401621,97.53,411781
"Apr 9, 2020",407436,98.94,411781
"Apr 8, 2020",401754,97.56,411781
"Apr 7, 2020",393408,95.54,411781
"Apr 6, 2020",388552,94.36,411781
"Apr 5, 2020",404636,98.26,411781
"Apr 4, 2020",404636,98.26,411781
"Apr 3, 2020",442067,107.35,411781
"Apr 2, 2020",405305,98.43,411781
"Apr 1, 2020",469073,113.91,411781
"Mar 31, 2020",505131,122.67,411781
"Mar 30, 2020",397493,96.53,411781
"Mar 29, 2020",439214,106.66,411781
"Mar 28, 2020",439226,106.66,411781
"Mar 27, 2020",536186,98.3,545446
"Mar 26, 2020",540542,99.1,545446
"Mar 25, 2020",546131,100.13,545446
"Mar 24, 2020",574956,105.41,545446
"Mar 23, 2020",547254,100.33,545446
"Mar 22, 2020",546229,100.14,545446
"Mar 21, 2020",555349,101.82,545446
"Mar 20, 2020",591163,108.38,545446
"Mar 19, 2020",547463,100.37,545446
"Mar 18, 2020",552515,101.3,545446
"Mar 17, 2020",554795,101.71,545446
"Mar 16, 2020",557748,102.26,545446
"Mar 15, 2020",551020,101.02,545446
"Mar 14, 2020",551020,101.02,545446
"Mar 13, 2020",551020,101.96,540414
"Mar 12, 2020",531435,98.34,540414
"Mar 11, 2020",530061,98.08,540414
"Mar 10, 2020",544503,100.76,540414
"Mar 9, 2020",555512,102.79,540414
"Mar 8, 2020",541954,100.28,540414
"Mar 7, 2020",542842,100.45,540414
"Mar 6, 2020",570208,105.51,540414
"Mar 5, 2020",537254,99.42,540414
"Mar 4, 2020",534450,98.9,540414
"Mar 3, 2020",536355,99.25,540414
"Mar 2, 2020",544265,100.71,540414
"Mar 1, 2020",544484,100.75,540414
"Feb 29, 2020",544484,100.75,540414
"Feb 28, 2020",550033,100.97,544757
"Feb 27, 2020",538276,98.81,544757
"Feb 26, 2020",529712,97.24,544757
"Feb 25, 2020",533605,97.95,544757
"Feb 24, 2020",578519,106.2,544757
"Feb 23, 2020",542255,99.54,544757
"Feb 22, 2020",544104,99.88,544757
"Feb 21, 2020",544151,99.89,544757
"Feb 20, 2020",571508,104.91,544757
"Feb 19, 2020",544027,99.87,544757
"Feb 18, 2020",562547,103.27,544757
"Feb 17, 2020",549296,100.83,544757
"Feb 16, 2020",543379,99.75,544757
"Feb 15, 2020",543424,99.76,544757
"Feb 14, 2020",556182,103.86,535497
"Feb 13, 2020",525879,98.2,535497
"Feb 12, 2020",540192,100.88,535497
"Feb 11, 2020",534576,99.83,535497
"Feb 10, 2020",531408,99.24,535497
"Feb 9, 2020",530666,99.1,535497
"Feb 8, 2020",531250,99.21,535497
"Feb 7, 2020",531170,99.19,535497
"Feb 6, 2020",525040,98.05,535497
"Feb 5, 2020",543193,101.44,535497
"Feb 4, 2020",534377,99.79,535497
"Feb 3, 2020",535101,99.93,535497
"Feb 2, 2020",553335,103.33,535497
"Feb 1, 2020",553649,103.39,535497
"Jan 31, 2020",550704,102.22,538766
"Jan 30, 2020",528007,98,538766
"Jan 29, 2020",541571,100.52,538766
"Jan 28, 2020",549430,101.98,538766
"Jan 27, 2020",533024,98.93,538766
"Jan 26, 2020",539847,100.2,538766
"Jan 25, 2020",540727,100.36,538766
"Jan 24, 2020",540629,100.35,538766
"Jan 23, 2020",540626,100.35,538766
"Jan 22, 2020",538823,100.01,538766
"Jan 21, 2020",538816,100.01,538766
"Jan 20, 2020",539621,100.16,538766
"Jan 19, 2020",542844,100.76,538766
"Jan 18, 2020",542864,100.76,538766
"Jan 17, 2020",547082,102.64,533022
"Jan 16, 2020",525900,98.66,533022
"Jan 15, 2020",528436,99.14,533022
"Jan 14, 2020",538682,101.06,533022
"Jan 13, 2020",538372,101,533022
"Jan 12, 2020",538601,101.05,533022
"Jan 11, 2020",538658,101.06,533022
"Jan 10, 2020",539538,101.22,533022
"Jan 9, 2020",527808,99.02,533022