State,Wk1(feb 20-26),Wk2(feb 27-4march),Wk3(march 5 - 11),Wk4(mar12-18),Wk5(mar19-25),Wk6(mar26-1april),wk7 (april 2-8),Wk8 (april 9-15)
Chattisgarh,1400,1600,1600,1600,NA,2000,1850,1666.666667
Gujarat,1225,1137.5,1120,1183.333333,1212.5,1300,1430,1366.666667
Haryana,983.3333333,1021.428571,1033.333333,1428.571429,1566.666667,1600,1380,1314.285714
Himachal Pradesh,1120,1260,1440,1660,1766.666667,2200,2171.428571,1760
Jharkhand,1650,1650,1625,1625,1735,2075,2000,1816.666667
Karnataka,2000,2000,2000,2000,2000,2000,2000,2094
Kerala,3200,3200,3066.666667,3171.428571,3160,4350,4200,4000
Madhya Pradesh,933.3333333,920,1000,985.7142857,966.6666667,1150,1075,1150
Odisha,2200,2200,2200,2200,2160,2540,2400,2116.666667
Punjab,664.2857143,707.1428571,728.5714286,721.4285714,1040,866.6666667,900,857.1428571
Rajasthan,1280,1080,1140,1066.666667,1150,1578.571429,1525,1642.857143
Tripura,1665,1460,1538.571429,1512.857143,1485,1684.285714,1835.833333,1874
Uttar Pradesh,1046.25,1085,1175,1240,1354,2000,1629.166667,1511.666667
Uttrakhand,991.6666667,950,900,1125,1616.666667,2030,1637.5,1857.142857
West Bengal,1400,1400,1400,1392.857143,1350,1500,1325,1307.142857